"GEO","CITY","PROVINCE","CDUID","YEAR","POPULATION"
"Division No. 2, Alberta","Division No. 2","Alberta","4802","2003",140613
"Division No. 2, Manitoba","Division No. 2","Manitoba","4602","2003",54764
"Division No. 2, Newfoundland and Labrador","Division No. 2","Newfoundland and Labrador","1002","2003",23864
"Division No. 2, Saskatchewan","Division No. 2","Saskatchewan","4702","2003",21562
"Division No. 20, Manitoba","Division No. 20","Manitoba","4620","2003",10936
"Division No. 21, Manitoba","Division No. 21","Manitoba","4621","2003",23025
"Division No. 22, Manitoba","Division No. 22","Manitoba","4622","2003",37808
"Division No. 23, Manitoba","Division No. 23","Manitoba","4623","2003",8571
"Division No. 3, Alberta","Division No. 3","Alberta","4803","2003",38343
"Division No. 3, Manitoba","Division No. 3","Manitoba","4603","2003",43725
"Division No. 3, Newfoundland and Labrador","Division No. 3","Newfoundland and Labrador","1003","2003",18970
"Division No. 3, Saskatchewan","Division No. 3","Saskatchewan","4703","2003",14382
"Division No. 4, Alberta","Division No. 4","Alberta","4804","2003",11120
"Division No. 4, Manitoba","Division No. 4","Manitoba","4604","2003",10523
"Division No. 4, Newfoundland and Labrador","Division No. 4","Newfoundland and Labrador","1004","2003",22229
"Division No. 4, Saskatchewan","Division No. 4","Saskatchewan","4704","2003",11679
"Division No. 5, Alberta","Division No. 5","Alberta","4805","2003",50109
"Division No. 5, Manitoba","Division No. 5","Manitoba","4605","2003",13920
"Division No. 5, Newfoundland and Labrador","Division No. 5","Newfoundland and Labrador","1005","2003",41010
"Division No. 5, Saskatchewan","Division No. 5","Saskatchewan","4705","2003",32335
"Division No. 6, Alberta","Division No. 6","Alberta","4806","2003",1105222
"Division No. 6, Manitoba","Division No. 6","Manitoba","4606","2003",10270
"Division No. 6, Newfoundland and Labrador","Division No. 6","Newfoundland and Labrador","1006","2003",37053
"Division No. 6, Saskatchewan","Division No. 6","Saskatchewan","4706","2003",224527
"Division No. 7, Alberta","Division No. 7","Alberta","4807","2003",40685
"Division No. 7, Manitoba","Division No. 7","Manitoba","4607","2003",59877
"Division No. 7, Newfoundland and Labrador","Division No. 7","Newfoundland and Labrador","1007","2003",37323
"Division No. 7, Saskatchewan","Division No. 7","Saskatchewan","4707","2003",47611
"Division No. 8, Alberta","Division No. 8","Alberta","4808","2003",164992
"Division No. 8, Manitoba","Division No. 8","Manitoba","4608","2003",14123
"Division No. 8, Newfoundland and Labrador","Division No. 8","Newfoundland and Labrador","1008","2003",41673
"Division No. 8, Saskatchewan","Division No. 8","Saskatchewan","4708","2003",30500
"Division No. 9, Alberta","Division No. 9","Alberta","4809","2003",20404
"Division No. 9, Manitoba","Division No. 9","Manitoba","4609","2003",24231
"Division No. 9, Newfoundland and Labrador","Division No. 9","Newfoundland and Labrador","1009","2003",19532
"Division No. 9, Saskatchewan","Division No. 9","Saskatchewan","4709","2003",36647
"Drummond, Quebec","Drummond","Quebec","2449","2003",91101
"Dufferin, Ontario","Dufferin","Ontario","3522","2003",54851
"Durham, Ontario","Durham","Ontario","3518","2003",550389
"East Kootenay, British Columbia","East Kootenay","British Columbia","5901","2003",57637
"Elgin, Ontario","Elgin","Ontario","3534","2003",85898
"Essex, Ontario","Essex","Ontario","3537","2003",402572
"Francheville, Quebec","Francheville","Quebec","2437","2003",142358
"Fraser-Fort George, British Columbia","Fraser-Fort George","British Columbia","5953","2003",95625
"Fraser Valley, British Columbia","Fraser Valley","British Columbia","5909","2003",253568
"Frontenac, Ontario","Frontenac","Ontario","3510","2003",147705
"Gatineau, Quebec","Gatineau","Quebec","2481","2003",237451
"Gloucester, New Brunswick","Gloucester","New Brunswick","1315","2003",85366
"Greater Sudbury, Ontario","Greater Sudbury","Ontario","3553","2003",161226
"Greater Vancouver, British Columbia","Greater Vancouver","British Columbia","5915","2003",2115789
"Grey, Ontario","Grey","Ontario","3542","2003",94166
"Guysborough, Nova Scotia","Guysborough","Nova Scotia","1213","2003",9688
"Haldimand-Norfolk, Ontario","Haldimand-Norfolk","Ontario","3528","2003",111089
"Haliburton, Ontario","Haliburton","Ontario","3546","2003",16307
"Halifax, Nova Scotia","Halifax","Nova Scotia","1209","2003",378076
"Halton, Ontario","Halton","Ontario","3524","2003",416375
"Hamilton, Ontario","Hamilton","Ontario","3525","2003",519535
"Hants, Nova Scotia","Hants","Nova Scotia","1208","2003",41835
"Hastings, Ontario","Hastings","Ontario","3512","2003",134062
"Huron, Ontario","Huron","Ontario","3540","2003",61830
"Inverness, Nova Scotia","Inverness","Nova Scotia","1215","2003",20128
"Joliette, Quebec","Joliette","Quebec","2461","2003",56679
"Kamouraska, Quebec","Kamouraska","Quebec","2414","2003",22499
"Kawartha Lakes, Ontario","Kawartha Lakes","Ontario","3516","2003",74309
"Keewatin, Nunavut","Keewatin","Nunavut","6205","2003",8218
"Kenora, Ontario","Kenora","Ontario","3560","2003",67834
"Kent, New Brunswick","Kent","New Brunswick","1308","2003",32312
"Kings, New Brunswick","Kings","New Brunswick","1305","2003",66470
"Kings, Nova Scotia","Kings","Nova Scotia","1207","2003",60716
"Kings, Prince Edward Island","Kings","Prince Edward Island","1101","2003",19176
"Kitikmeot, Nunavut","Kitikmeot","Nunavut","6208","2003",5362
"Kitimat-Stikine, British Columbia","Kitimat-Stikine","British Columbia","5949","2003",41387
"Kootenay Boundary, British Columbia","Kootenay Boundary","British Columbia","5905","2003",31985
"L'Érable, Quebec","L'Érable","Quebec","2432","2003",23939
"L'Assomption, Quebec","L'Assomption","Quebec","2460","2003",106558
"L'Ile-d'Orleans, Quebec","L'Ile-d'Orleans","Quebec","2420","2003",7000
"L'Islet, Quebec","L'Islet","Quebec","2417","2003",19371
"La Côte-de-Beaupre, Quebec","La Côte-de-Beaupre","Quebec","2421","2003",21973
"La Côte-de-Gaspe, Quebec","La Côte-de-Gaspe","Quebec","2403","2003",18114
"La Haute-Côte-Nord, Quebec","La Haute-Côte-Nord","Quebec","2495","2003",12708
"La Haute-Gaspesie, Quebec","La Haute-Gaspesie","Quebec","2404","2003",12650
"La Haute-Yamaska, Quebec","La Haute-Yamaska","Quebec","2447","2003",76924
"La Jacques-Cartier, Quebec","La Jacques-Cartier","Quebec","2422","2003",28330
"La Matapedia, Quebec","La Matapedia","Quebec","2407","2003",19746
"La Mitis, Quebec","La Mitis","Quebec","2409","2003",19423
"La Nouvelle-Beauce, Quebec","La Nouvelle-Beauce","Quebec","2426","2003",31411
"La Riviere-du-Nord, Quebec","La Riviere-du-Nord","Quebec","2475","2003",96025
"La Tuque, Quebec","La Tuque","Quebec","2490","2003",15663
"La Vallee-de-l'Or, Quebec","La Vallee-de-l'Or","Quebec","2489","2003",42446
"La Vallee-de-la-Gatineau, Quebec","La Vallee-de-la-Gatineau","Quebec","2483","2003",20332
"La Vallee-du-Richelieu, Quebec","La Vallee-du-Richelieu","Quebec","2457","2003",100955
"Lac-Saint-Jean-Est, Quebec","Lac-Saint-Jean-Est","Quebec","2493","2003",51864
"Lambton, Ontario","Lambton","Ontario","3538","2003",132457
"Lanark, Ontario","Lanark","Ontario","3509","2003",65816
"Laval, Quebec","Laval","Quebec","2465","2003",358747
"Le Domaine-du-Roy, Quebec","Le Domaine-du-Roy","Quebec","2491","2003",32745
"Le Granit, Quebec","Le Granit","Quebec","2430","2003",22445
"Le Haut-Richelieu, Quebec","Le Haut-Richelieu","Quebec","2456","2003",105548
"Le Haut-Saint-François, Quebec","Le Haut-Saint-François","Quebec","2441","2003",21714
"Le Haut-Saint-Laurent, Quebec","Le Haut-Saint-Laurent","Quebec","2469","2003",25053
"Le Rocher-Perce, Quebec","Le Rocher-Perce","Quebec","2402","2003",19053
"Le Saguenay-et-son-Fjord, Quebec","Le Saguenay-et-son-Fjord","Quebec","2494","2003",167119
"Le Val-Saint-François, Quebec","Le Val-Saint-François","Quebec","2442","2003",28974
"Leeds and Grenville, Ontario","Leeds and Grenville","Ontario","3507","2003",101665
"Lennox and Addington, Ontario","Lennox and Addington","Ontario","3511","2003",41361
"Les Appalaches, Quebec","Les Appalaches","Quebec","2431","2003",43628
"Les Basques, Quebec","Les Basques","Quebec","2411","2003",9685
"Les Collines-de-l'Outaouais, Quebec","Les Collines-de-l'Outaouais","Quebec","2482","2003",38476
"Les Etchemins, Quebec","Les Etchemins","Quebec","2428","2003",17868
"Les Iles-de-la-Madeleine, Quebec","Les Iles-de-la-Madeleine","Quebec","2401","2003",13038
"Les Jardins-de-Napierville, Quebec","Les Jardins-de-Napierville","Quebec","2468","2003",23432
"Les Laurentides, Quebec","Les Laurentides","Quebec","2478","2003",40829
"Les Maskoutains, Quebec","Les Maskoutains","Quebec","2454","2003",80833
"Les Moulins, Quebec","Les Moulins","Quebec","2464","2003",117590
"Les Pays-d'en-Haut, Quebec","Les Pays-d'en-Haut","Quebec","2477","2003",33980
"Les Sources, Quebec","Les Sources","Quebec","2440","2003",14599
"Levis, Quebec","Levis","Quebec","2425","2003",126473
"Longueuil, Quebec","Longueuil","Quebec","2458","2003",384083
"Lotbiniere, Quebec","Lotbiniere","Quebec","2433","2003",27357
"Lunenburg, Nova Scotia","Lunenburg","Nova Scotia","1206","2003",48670
"Madawaska, New Brunswick","Madawaska","New Brunswick","1313","2003",36077
"Manicouagan, Quebec","Manicouagan","Quebec","2496","2003",33847
"Manitoulin, Ontario","Manitoulin","Ontario","3551","2003",12827
"Marguerite-D'Youville, Quebec","Marguerite-D'Youville","Quebec","2459","2003",67546
"Maria-Chapdelaine, Quebec","Maria-Chapdelaine","Quebec","2492","2003",26561
"Maskinonge, Quebec","Maskinonge","Quebec","2451","2003",35662
"Matane, Quebec","Matane","Quebec","2408","2003",22431
"Matawinie, Quebec","Matawinie","Quebec","2462","2003",46896
"Mekinac, Quebec","Mekinac","Quebec","2435","2003",12834
"Memphremagog, Quebec","Memphremagog","Quebec","2445","2003",44428
"Middlesex, Ontario","Middlesex","Ontario","3539","2003",430202
"Minganie-Le Golfe-du-Saint-Laurent, Quebec","Minganie-Le Golfe-du-Saint-Laurent","Quebec","2498","2003",12163
"Mirabel, Quebec","Mirabel","Quebec","2474","2003",30823
"Montcalm, Quebec","Montcalm","Quebec","2463","2003",40262
"Montmagny, Quebec","Montmagny","Quebec","2418","2003",23538
"Montreal, Quebec","Montreal","Quebec","2466","2003",1867579
"Mount Waddington, British Columbia","Mount Waddington","British Columbia","5943","2003",12726
"Muskoka, Ontario","Muskoka","Ontario","3544","2003",57511
"Nanaimo, British Columbia","Nanaimo","British Columbia","5921","2003",135604
"Niagara, Ontario","Niagara","Ontario","3526","2003",433254
"Nicolet-Yamaska, Quebec","Nicolet-Yamaska","Quebec","2450","2003",23429
"Nipissing, Ontario","Nipissing","Ontario","3548","2003",86696
"Nord-du-Quebec, Quebec","Nord-du-Quebec","Quebec","2499","2003",39591
"North Okanagan, British Columbia","North Okanagan","British Columbia","5937","2003",77192
"Northern Rockies, British Columbia","Northern Rockies","British Columbia","5959","2003",6193
"Northumberland, New Brunswick","Northumberland","New Brunswick","1309","2003",49829
"Northumberland, Ontario","Northumberland","Ontario","3514","2003",82042
"Okanagan-Similkameen, British Columbia","Okanagan-Similkameen","British Columbia","5907","2003",80532
"Ottawa, Ontario","Ottawa","Ontario","3506","2003",828460
"Oxford, Ontario","Oxford","Ontario","3532","2003",104503
"Papineau, Quebec","Papineau","Quebec","2480","2003",21263
"Parry Sound, Ontario","Parry Sound","Ontario","3549","2003",41860
"Peace River, British Columbia","Peace River","British Columbia","5955","2003",58185
"Peel, Ontario","Peel","Ontario","3521","2003",1110288
"Perth, Ontario","Perth","Ontario","3531","2003",77438
"Peterborough, Ontario","Peterborough","Ontario","3515","2003",134109
"Pictou, Nova Scotia","Pictou","Nova Scotia","1212","2003",48081
"Pierre-De Saurel, Quebec","Pierre-De Saurel","Quebec","2453","2003",50633
"Pontiac, Quebec","Pontiac","Quebec","2484","2003",14735
"Portneuf, Quebec","Portneuf","Quebec","2434","2003",46246
"Powell River, British Columbia","Powell River","British Columbia","5927","2003",20015
"Prescott and Russell, Ontario","Prescott and Russell","Ontario","3502","2003",81515
"Prince Edward, Ontario","Prince Edward","Ontario","3513","2003",26228
"Prince, Prince Edward Island","Prince","Prince Edward Island","1103","2003",45191
"Quebec, Quebec","Quebec","Quebec","2423","2003",525433
"Queens, New Brunswick","Queens","New Brunswick","1304","2003",12144
"Queens, Nova Scotia","Queens","Nova Scotia","1204","2003",11818
"Queens, Prince Edward Island","Queens","Prince Edward Island","1102","2003",72860
"Rainy River, Ontario","Rainy River","Ontario","3559","2003",22508
"Region 1, Northwest Territories","Region 1","Northwest Territories","6101","2003",6895
"Region 2, Northwest Territories","Region 2","Northwest Territories","6102","2003",2567
"Region 3, Northwest Territories","Region 3","Northwest Territories","6103","2003",2780
"Region 4, Northwest Territories","Region 4","Northwest Territories","6104","2003",3533
"Region 5, Northwest Territories","Region 5","Northwest Territories","6105","2003",7357
"Region 6, Northwest Territories","Region 6","Northwest Territories","6106","2003",19468
"Renfrew, Ontario","Renfrew","Ontario","3547","2003",99866
"Restigouche, New Brunswick","Restigouche","New Brunswick","1314","2003",36031
"Richmond, Nova Scotia","Richmond","Nova Scotia","1216","2003",10196
"Rimouski-Neigette, Quebec","Rimouski-Neigette","Quebec","2410","2003",53323
"Riviere-du-Loup, Quebec","Riviere-du-Loup","Quebec","2412","2003",32713
"Robert-Cliche, Quebec","Robert-Cliche","Quebec","2427","2003",19030
"Roussillon, Quebec","Roussillon","Quebec","2467","2003",153846
"Rouville, Quebec","Rouville","Quebec","2455","2003",30967
"Rouyn-Noranda, Quebec","Rouyn-Noranda","Quebec","2486","2003",39768
"Saint John, New Brunswick","Saint John","New Brunswick","1301","2003",77575
"Sept-Rivieres-Caniapiscau, Quebec","Sept-Rivieres-Caniapiscau","Quebec","2497","2003",38671
"Shawinigan, Quebec","Shawinigan","Quebec","2436","2003",52322
"Shelburne, Nova Scotia","Shelburne","Nova Scotia","1201","2003",16456
"Sherbrooke, Quebec","Sherbrooke","Quebec","2443","2003",145221
"Simcoe, Ontario","Simcoe","Ontario","3543","2003",414456
"Skeena-Queen Charlotte, British Columbia","Skeena-Queen Charlotte","British Columbia","5947","2003",21387
"Squamish-Lillooet, British Columbia","Squamish-Lillooet","British Columbia","5931","2003",35415
"Stikine, British Columbia","Stikine","British Columbia","5957","2003",635
"Stormont, Dundas and Glengarry, Ontario","Stormont","Ontario","3501","2003",116385
"Strathcona, British Columbia","Strathcona","British Columbia","5924","2003",42286
"Sudbury, Ontario","Sudbury","Ontario","3552","2003",23518
"Sunbury, New Brunswick","Sunbury","New Brunswick","1303","2003",26607
"Sunshine Coast, British Columbia","Sunshine Coast","British Columbia","5929","2003",27370
"Temiscamingue, Quebec","Temiscamingue","Quebec","2485","2003",17419
"Temiscouata, Quebec","Temiscouata","Quebec","2413","2003",22282
"Therese-De Blainville, Quebec","Therese-De Blainville","Quebec","2473","2003",138783
"Thompson-Nicola, British Columbia","Thompson-Nicola","British Columbia","5933","2003",123623
"Thunder Bay, Ontario","Thunder Bay","Ontario","3558","2003",156427
"Timiskaming, Ontario","Timiskaming","Ontario","3554","2003",34731
"Toronto, Ontario","Toronto","Ontario","3520","2003",2592910
"Vaudreuil-Soulanges, Quebec","Vaudreuil-Soulanges","Quebec","2471","2003",110585
"Victoria, New Brunswick","Victoria","New Brunswick","1312","2003",21454
"Victoria, Nova Scotia","Victoria","Nova Scotia","1218","2003",8091
"Waterloo, Ontario","Waterloo","Ontario","3530","2003",472351
"Wellington, Ontario","Wellington","Ontario","3523","2003",200423
"Westmorland, New Brunswick","Westmorland","New Brunswick","1307","2003",131638
"Yarmouth, Nova Scotia","Yarmouth","Nova Scotia","1202","2003",27483
"York, New Brunswick","York","New Brunswick","1310","2003",90273
"York, Ontario","York","Ontario","3519","2003",844355
"Yukon, Yukon","Yukon","Yukon","6001","2003",30941
"Abitibi-Ouest, Quebec","Abitibi-Ouest","Quebec","2487","2004",21197
"Abitibi, Quebec","Abitibi","Quebec","2488","2004",24324
"Acton, Quebec","Acton","Quebec","2448","2004",15358
"Alberni-Clayoquot, British Columbia","Alberni-Clayoquot","British Columbia","5923","2004",31321
"Albert, New Brunswick","Albert","New Brunswick","1306","2004",27909
"Algoma, Ontario","Algoma","Ontario","3557","2004",121694
"Annapolis, Nova Scotia","Annapolis","Nova Scotia","1205","2004",22021
"Antigonish, Nova Scotia","Antigonish","Nova Scotia","1214","2004",19578
"Antoine-Labelle, Quebec","Antoine-Labelle","Quebec","2479","2004",35197
"Argenteuil, Quebec","Argenteuil","Quebec","2476","2004",30044
"Arthabaska, Quebec","Arthabaska","Quebec","2439","2004",65999
"Avignon, Quebec","Avignon","Quebec","2406","2004",15398
"Baffin, Nunavut","Baffin","Nunavut","6204","2004",16059
"Beauce-Sartigan, Quebec","Beauce-Sartigan","Quebec","2429","2004",49538
"Beauharnois-Salaberry, Quebec","Beauharnois-Salaberry","Quebec","2470","2004",60741
"Becancour, Quebec","Becancour","Quebec","2438","2004",19041
"Bellechasse, Quebec","Bellechasse","Quebec","2419","2004",34006
"Bonaventure, Quebec","Bonaventure","Quebec","2405","2004",18221
"Brant, Ontario","Brant","Ontario","3529","2004",133491
"Brome-Missisquoi, Quebec","Brome-Missisquoi","Quebec","2446","2004",52782
"Bruce, Ontario","Bruce","Ontario","3541","2004",67612
"Bulkley-Nechako, British Columbia","Bulkley-Nechako","British Columbia","5951","2004",40594
"Cape Breton, Nova Scotia","Cape Breton","Nova Scotia","1217","2004",110407
"Capital, British Columbia","Capital","British Columbia","5917","2004",347245
"Cariboo, British Columbia","Cariboo","British Columbia","5941","2004",64647
"Carleton, New Brunswick","Carleton","New Brunswick","1311","2004",27649
"Central Coast, British Columbia","Central Coast","British Columbia","5945","2004",3486
"Central Kootenay, British Columbia","Central Kootenay","British Columbia","5903","2004",57563
"Central Okanagan, British Columbia","Central Okanagan","British Columbia","5935","2004",161296
"Charlevoix-Est, Quebec","Charlevoix-Est","Quebec","2415","2004",16722
"Charlevoix, Quebec","Charlevoix","Quebec","2416","2004",13315
"Charlotte, New Brunswick","Charlotte","New Brunswick","1302","2004",28096
"Chatham-Kent, Ontario","Chatham-Kent","Ontario","3536","2004",111809
"Coaticook, Quebec","Coaticook","Quebec","2444","2004",18615
"Cochrane, Ontario","Cochrane","Ontario","3556","2004",87410
"Colchester, Nova Scotia","Colchester","Nova Scotia","1210","2004",51408
"Columbia-Shuswap, British Columbia","Columbia-Shuswap","British Columbia","5939","2004",50421
"Comox Valley, British Columbia","Comox Valley","British Columbia","5926","2004",59366
"Cowichan Valley, British Columbia","Cowichan Valley","British Columbia","5919","2004",77177
"Cumberland, Nova Scotia","Cumberland","Nova Scotia","1211","2004",32978
"D'Autray, Quebec","D'Autray","Quebec","2452","2004",40130
"Deux-Montagnes, Quebec","Deux-Montagnes","Quebec","2472","2004",87498
"Digby, Nova Scotia","Digby","Nova Scotia","1203","2004",19802
"Division No. 1, Alberta","Division No. 1","Alberta","4801","2004",73174
"Division No. 1, Manitoba","Division No. 1","Manitoba","4601","2004",17909
"Division No. 1, Newfoundland and Labrador","Division No. 1","Newfoundland and Labrador","1001","2004",250844
"Division No. 1, Saskatchewan","Division No. 1","Saskatchewan","4701","2004",30058
"Division No. 10, Alberta","Division No. 10","Alberta","4810","2004",87436
"Division No. 10, Manitoba","Division No. 10","Manitoba","4610","2004",10009
"Division No. 10, Newfoundland and Labrador","Division No. 10","Newfoundland and Labrador","1010","2004",24939
"Division No. 10, Saskatchewan","Division No. 10","Saskatchewan","4710","2004",18762
"Division No. 11, Alberta","Division No. 11","Alberta","4811","2004",1058750
"Division No. 11, Manitoba","Division No. 11","Manitoba","4611","2004",650701
"Division No. 11, Newfoundland and Labrador","Division No. 11","Newfoundland and Labrador","1011","2004",2550
"Division No. 11, Saskatchewan","Division No. 11","Saskatchewan","4711","2004",247964
"Division No. 12, Alberta","Division No. 12","Alberta","4812","2004",64268
"Division No. 12, Manitoba","Division No. 12","Manitoba","4612","2004",20257
"Division No. 12, Saskatchewan","Division No. 12","Saskatchewan","4712","2004",23451
"Division No. 13, Alberta","Division No. 13","Alberta","4813","2004",67215
"Division No. 13, Manitoba","Division No. 13","Manitoba","4613","2004",45007
"Division No. 13, Saskatchewan","Division No. 13","Saskatchewan","4713","2004",23432
"Division No. 14, Alberta","Division No. 14","Alberta","4814","2004",27880
"Division No. 14, Manitoba","Division No. 14","Manitoba","4614","2004",18356
"Division No. 14, Saskatchewan","Division No. 14","Saskatchewan","4714","2004",38694
"Division No. 15, Alberta","Division No. 15","Alberta","4815","2004",35151
"Division No. 15, Manitoba","Division No. 15","Manitoba","4615","2004",21410
"Division No. 15, Saskatchewan","Division No. 15","Saskatchewan","4715","2004",81824
"Division No. 16, Alberta","Division No. 16","Alberta","4816","2004",51598
"Division No. 16, Manitoba","Division No. 16","Manitoba","4616","2004",10448
"Division No. 16, Saskatchewan","Division No. 16","Saskatchewan","4716","2004",38365
"Division No. 17, Alberta","Division No. 17","Alberta","4817","2004",60970
"Division No. 17, Manitoba","Division No. 17","Manitoba","4617","2004",23166
"Division No. 17, Saskatchewan","Division No. 17","Saskatchewan","4717","2004",42052
"Division No. 18, Alberta","Division No. 18","Alberta","4818","2004",14326
"Division No. 18, Manitoba","Division No. 18","Manitoba","4618","2004",24139
"Division No. 18, Saskatchewan","Division No. 18","Saskatchewan","4718","2004",34247
"Division No. 19, Alberta","Division No. 19","Alberta","4819","2004",94928
"Division No. 19, Manitoba","Division No. 19","Manitoba","4619","2004",16570
"Division No. 2, Alberta","Division No. 2","Alberta","4802","2004",142134
"Division No. 2, Manitoba","Division No. 2","Manitoba","4602","2004",56124
"Division No. 2, Newfoundland and Labrador","Division No. 2","Newfoundland and Labrador","1002","2004",23441
"Division No. 2, Saskatchewan","Division No. 2","Saskatchewan","4702","2004",21250
"Division No. 20, Manitoba","Division No. 20","Manitoba","4620","2004",10898
"Division No. 21, Manitoba","Division No. 21","Manitoba","4621","2004",22790
"Division No. 22, Manitoba","Division No. 22","Manitoba","4622","2004",38805
"Division No. 23, Manitoba","Division No. 23","Manitoba","4623","2004",8528
"Division No. 3, Alberta","Division No. 3","Alberta","4803","2004",38140
"Division No. 3, Manitoba","Division No. 3","Manitoba","4603","2004",44433
"Division No. 3, Newfoundland and Labrador","Division No. 3","Newfoundland and Labrador","1003","2004",18602
"Division No. 3, Saskatchewan","Division No. 3","Saskatchewan","4703","2004",14056
"Division No. 4, Alberta","Division No. 4","Alberta","4804","2004",11067
"Division No. 4, Manitoba","Division No. 4","Manitoba","4604","2004",10441
"Division No. 4, Newfoundland and Labrador","Division No. 4","Newfoundland and Labrador","1004","2004",22024
"Division No. 4, Saskatchewan","Division No. 4","Saskatchewan","4704","2004",11502
"Division No. 5, Alberta","Division No. 5","Alberta","4805","2004",50464
"Division No. 5, Manitoba","Division No. 5","Manitoba","4605","2004",13780
"Division No. 5, Newfoundland and Labrador","Division No. 5","Newfoundland and Labrador","1005","2004",41125
"Division No. 5, Saskatchewan","Division No. 5","Saskatchewan","4705","2004",31870
"Division No. 6, Alberta","Division No. 6","Alberta","4806","2004",1130936
"Division No. 6, Manitoba","Division No. 6","Manitoba","4606","2004",10233
"Division No. 6, Newfoundland and Labrador","Division No. 6","Newfoundland and Labrador","1006","2004",36949
"Division No. 6, Saskatchewan","Division No. 6","Saskatchewan","4706","2004",225440
"Division No. 7, Alberta","Division No. 7","Alberta","4807","2004",40616
"Division No. 7, Manitoba","Division No. 7","Manitoba","4607","2004",60586
"Division No. 7, Newfoundland and Labrador","Division No. 7","Newfoundland and Labrador","1007","2004",36941
"Division No. 7, Saskatchewan","Division No. 7","Saskatchewan","4707","2004",47570
"Division No. 8, Alberta","Division No. 8","Alberta","4808","2004",169119
"Division No. 8, Manitoba","Division No. 8","Manitoba","4608","2004",13957
"Division No. 8, Newfoundland and Labrador","Division No. 8","Newfoundland and Labrador","1008","2004",40922
"Division No. 8, Saskatchewan","Division No. 8","Saskatchewan","4708","2004",30382
"Division No. 9, Alberta","Division No. 9","Alberta","4809","2004",20496
"Division No. 9, Manitoba","Division No. 9","Manitoba","4609","2004",24691
"Division No. 9, Newfoundland and Labrador","Division No. 9","Newfoundland and Labrador","1009","2004",19086
"Division No. 9, Saskatchewan","Division No. 9","Saskatchewan","4709","2004",36364
"Drummond, Quebec","Drummond","Quebec","2449","2004",91990
"Dufferin, Ontario","Dufferin","Ontario","3522","2004",55775
"Durham, Ontario","Durham","Ontario","3518","2004",562356
"East Kootenay, British Columbia","East Kootenay","British Columbia","5901","2004",57102
"Elgin, Ontario","Elgin","Ontario","3534","2004",86954
"Essex, Ontario","Essex","Ontario","3537","2004",406321
"Francheville, Quebec","Francheville","Quebec","2437","2004",142987
"Fraser-Fort George, British Columbia","Fraser-Fort George","British Columbia","5953","2004",94923
"Fraser Valley, British Columbia","Fraser Valley","British Columbia","5909","2004",258185
"Frontenac, Ontario","Frontenac","Ontario","3510","2004",148491
"Gatineau, Quebec","Gatineau","Quebec","2481","2004",240849
"Gloucester, New Brunswick","Gloucester","New Brunswick","1315","2004",84429
"Greater Sudbury, Ontario","Greater Sudbury","Ontario","3553","2004",161673
"Greater Vancouver, British Columbia","Greater Vancouver","British Columbia","5915","2004",2133439
"Grey, Ontario","Grey","Ontario","3542","2004",94739
"Guysborough, Nova Scotia","Guysborough","Nova Scotia","1213","2004",9518
"Haldimand-Norfolk, Ontario","Haldimand-Norfolk","Ontario","3528","2004",111929
"Haliburton, Ontario","Haliburton","Ontario","3546","2004",16417
"Halifax, Nova Scotia","Halifax","Nova Scotia","1209","2004",380727
"Halton, Ontario","Halton","Ontario","3524","2004",431228
"Hamilton, Ontario","Hamilton","Ontario","3525","2004",522134
"Hants, Nova Scotia","Hants","Nova Scotia","1208","2004",42031
"Hastings, Ontario","Hastings","Ontario","3512","2004",135262
"Huron, Ontario","Huron","Ontario","3540","2004",61692
"Inverness, Nova Scotia","Inverness","Nova Scotia","1215","2004",20029
"Joliette, Quebec","Joliette","Quebec","2461","2004",57616
"Kamouraska, Quebec","Kamouraska","Quebec","2414","2004",22470
"Kawartha Lakes, Ontario","Kawartha Lakes","Ontario","3516","2004",75360
"Keewatin, Nunavut","Keewatin","Nunavut","6205","2004",8412
"Kenora, Ontario","Kenora","Ontario","3560","2004",68300
"Kent, New Brunswick","Kent","New Brunswick","1308","2004",32297
"Kings, New Brunswick","Kings","New Brunswick","1305","2004",66727
"Kings, Nova Scotia","Kings","Nova Scotia","1207","2004",60891
"Kings, Prince Edward Island","Kings","Prince Edward Island","1101","2004",19114
"Kitikmeot, Nunavut","Kitikmeot","Nunavut","6208","2004",5386
"Kitimat-Stikine, British Columbia","Kitimat-Stikine","British Columbia","5949","2004",40749
"Kootenay Boundary, British Columbia","Kootenay Boundary","British Columbia","5905","2004",31525
"L'Érable, Quebec","L'Érable","Quebec","2432","2004",23726
"L'Assomption, Quebec","L'Assomption","Quebec","2460","2004",107316
"L'Ile-d'Orleans, Quebec","L'Ile-d'Orleans","Quebec","2420","2004",6926
"L'Islet, Quebec","L'Islet","Quebec","2417","2004",19270
"La Côte-de-Beaupre, Quebec","La Côte-de-Beaupre","Quebec","2421","2004",22353
"La Côte-de-Gaspe, Quebec","La Côte-de-Gaspe","Quebec","2403","2004",18022
"La Haute-Côte-Nord, Quebec","La Haute-Côte-Nord","Quebec","2495","2004",12658
"La Haute-Gaspesie, Quebec","La Haute-Gaspesie","Quebec","2404","2004",12586
"La Haute-Yamaska, Quebec","La Haute-Yamaska","Quebec","2447","2004",77944
"La Jacques-Cartier, Quebec","La Jacques-Cartier","Quebec","2422","2004",28921
"La Matapedia, Quebec","La Matapedia","Quebec","2407","2004",19610
"La Mitis, Quebec","La Mitis","Quebec","2409","2004",19476
